LOCATION,Country,EXP,IMP,NTRADE
AUT,Austria,55.65132137,52.09300778,20575.0229
BEL,Belgium,81.72912231,81.56409914,4312.7906
CAN,Canada,31.60252342,33.25358291,-42419.0041
CZE,Czech Rep.,75.48569646,69.39076909,25996.6146
DNK,Denmark,55.86708296,49.13459944,23138.5585
FIN,Finland,39.97659094,39.49008239,1984.7709
FRA,France,31.39152302,31.90834879,-9310.8374
DEU,Germany,46.91995366,40.8749447,246070.3612
GRC,Greece,37.18748517,37.19698156,4591.7761
HUN,Hungary,83.32805976,79.65248211,15171.1645
ISL,Iceland,45.3199713,40.59670472,1021.1324
IRL,Ireland,126.7954384,112.4196532,75224.3118
ITA,Italy,31.60569707,28.53373293,60468.6221
LUX,Luxembourg,208.7527498,172.7638666,23120.3715
NLD,Netherlands,82.52375774,71.7985693,99794.629
NOR,Norway,36.94995718,35.19654248,10610.7323
POL,Poland,55.75024323,50.49222452,56017.1065
PRT,Portugal,43.8536302,43.76784235,-1567.6441
SVK,Slovak Rep.,93.14276433,92.10718172,4868.8696
ESP,Spain,34.87024735,32.04682129,68348.8059
SWE,Sweden,47.4438219,43.59935374,23281.8356
CHE,Switzerland,66.03353839,53.40495722,85095.841
GBR,UK,31.54227211,32.71140572,-40769.6292
CHL,Chile,28.19988458,28.56190425,-12581.0628
EST,Estonia,72.57296099,68.58120427,1299.6284
SVN,Slovenia,84.43691401,75.29920629,6764.2944
LVA,Latvia,59.90641778,59.82364468,-2088.7394
LTU,Lithuania,78.08804917,72.49269133,3811.0948
